customer_id,name,gender,birth_date,register_date,region,modify_date
C00000,Customer_0,M,1984-06-16,2023-09-05,北部,
C00001,Customer_1,M,1968-10-31,2022-02-20,離島,
C00002,Customer_2,F,1987-10-06,2021-08-22,北部,
C00003,Customer_3,F,1973-02-25,2022-08-24,中部,
C00004,Customer_4,M,1982-12-09,2022-07-14,中部,
C00005,Customer_5,F,1987-04-18,2022-08-28,北部,2023-05-24
C00006,Customer_6,F,1976-12-15,2020-10-24,中部,
C00007,Customer_7,F,2005-03-25,2024-01-21,南部,
C00008,Customer_8,F,2004-06-25,2023-07-18,北部,
C00009,Customer_9,M,1996-01-26,2023-03-18,離島,
C00010,Customer_10,F,2002-02-28,2022-08-18,南部,
C00011,Customer_11,F,2000-06-03,2022-02-11,北部,
C00012,Customer_12,F,1987-04-26,2022-12-03,離島,
C00013,Customer_13,F,1968-03-24,2021-08-10,北部,
C00014,Customer_14,M,1987-01-09,2024-09-24,東部,2024-11-10
C00015,Customer_15,F,2001-11-22,2021-11-28,東部,
C00016,Customer_16,F,1993-11-07,2025-06-07,南部,
C00017,Customer_17,F,1978-08-18,2021-09-12,北部,
C00018,Customer_18,M,1982-11-09,2023-03-09,中部,
C00019,Customer_19,F,2004-01-30,2023-06-16,中部,
C00020,Customer_20,F,1965-08-29,2023-04-11,東部,
C00021,Customer_21,F,1967-06-16,2022-09-25,中部,
C00022,Customer_22,F,1977-06-08,2024-07-17,中部,
C00023,Customer_23,F,1989-03-05,2024-08-09,東部,
C00024,Customer_24,M,1987-06-29,2024-09-15,東部,
C00025,Customer_25,F,2004-07-27,2024-06-05,北部,
C00026,Customer_26,M,1996-03-25,2021-03-25,離島,2021-07-29
C00027,Customer_27,M,1987-01-30,2025-06-26,東部,
C00028,Customer_28,M,1970-08-20,2025-06-10,東部,2025-07-12
C00029,Customer_29,M,1968-08-10,2021-03-17,中部,
C00030,Customer_30,F,1988-04-23,2021-10-24,離島,
C00031,Customer_31,F,1977-05-28,2021-07-16,中部,2023-05-25
C00032,Customer_32,F,1969-12-21,2023-01-24,中部,2024-11-17
C00033,Customer_33,M,1996-10-29,2021-02-13,離島,2025-01-01
C00034,Customer_34,F,2006-03-24,2023-02-13,北部,2023-08-17
C00035,Customer_35,F,2006-06-04,2023-08-27,北部,
C00036,Customer_36,F,1992-03-30,2025-05-05,離島,
C00037,Customer_37,F,1989-12-03,2022-10-20,北部,
C00038,Customer_38,M,1988-04-30,2022-09-24,南部,
C00039,Customer_39,F,1976-12-18,2024-02-23,北部,
C00040,Customer_40,F,1967-06-13,2021-04-09,東部,2022-04-06
C00041,Customer_41,M,2005-03-04,2023-01-14,北部,2023-05-08
C00042,Customer_42,F,1998-02-04,2020-11-22,中部,
C00043,Customer_43,M,1998-03-09,2023-10-20,北部,
C00044,Customer_44,M,2003-04-17,2025-04-10,離島,2025-06-30
C00045,Customer_45,F,1983-08-31,2022-01-19,南部,
C00046,Customer_46,F,1998-01-21,2022-08-22,中部,
C00047,Customer_47,M,2001-12-13,2021-10-27,離島,
C00048,Customer_48,M,1980-05-05,2022-05-19,離島,
C00049,Customer_49,F,1995-06-26,2023-06-21,東部,
C00050,Customer_50,M,1969-09-09,2021-02-21,東部,
C00051,Customer_51,F,1992-08-03,2024-12-25,中部,
C00052,Customer_52,M,1972-02-28,2021-01-01,離島,
C00053,Customer_53,M,1988-01-25,2025-03-23,南部,2025-04-07
C00054,Customer_54,F,1994-12-23,2023-06-24,中部,2024-04-24
C00055,Customer_55,M,1986-02-25,2024-05-29,北部,
C00056,Customer_56,F,1973-11-17,2023-10-30,南部,
C00057,Customer_57,M,2005-05-15,2024-11-12,中部,
C00058,Customer_58,F,1990-12-19,2022-07-17,南部,
C00059,Customer_59,F,1996-03-24,2021-12-13,北部,
C00060,Customer_60,F,1992-02-18,2024-04-28,北部,
C00061,Customer_61,F,1999-10-07,2024-08-26,中部,
C00062,Customer_62,F,1973-02-14,2023-03-07,南部,2024-11-12
C00063,Customer_63,M,1978-05-24,2025-05-29,中部,
C00064,Customer_64,M,1987-04-22,2023-08-19,南部,
C00065,Customer_65,F,1974-02-12,2020-10-13,南部,
C00066,Customer_66,F,2006-09-25,2024-02-25,中部,
